Sex,Age group,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Males,15–19,9.6,15.2,12.6,12.4,13.5,15,17.8,16.4,17,13.1
Males,20–24,17.4,18.5,21.3,22.7,23.7,22.4,23.8,24.5,24.9,21.5
Males,25–29,19.8,18.7,19.9,22.9,21.3,24.7,23.4,24.3,23.1,24.3
Males,30–34,22.7,20,27.2,25.4,27.5,27.7,23.8,26.4,23.1,23.5
Males,35–39,26,21.8,25.2,27.9,25.1,27.7,27.7,27.8,23.7,24.8
Males,40–44,25.8,26.7,31.1,30.8,27.7,32.3,26,29.5,27.2,22.9
Males,45–49,27.1,24.3,25.7,32.6,23.5,33.7,29.5,32.2,25.4,23.2
Males,50–54,24.5,24.6,30.1,32,24.4,22.3,28.1,27.1,26.8,26.9
Males,55–59,21.1,21.5,27.1,21.5,22.4,27.3,29.5,26.5,22.5,25.6
Males,60–64,17.6,18.9,21.4,19.7,21.6,20.8,24,24.2,23.5,22.2
Males,65–69,15.2,16.8,16.9,19.2,16.1,22,16.3,18.1,17.4,18.9
Males,70–74,18.9,17.8,16.8,19.2,15.1,19.2,17.2,18.1,16.5,19.1
Males,75–79,17.2,21.4,22,20.1,22.4,16.5,18.3,19.5,19.3,17.5
Males,80–84,29.1,22.7,20.9,26.8,22.2,22.4,23.8,22,21.7,31.2
Males,85+,38.1,38.6,38.5,41.3,36.3,34.2,33.9,33,37,36.4
Females,15–19,8.3,5.7,5.4,7.9,5.1,7.1,7,6.6,6.1,7.1
Females,20–24,6.3,6.7,7.3,6.6,8,6.8,6.1,8.4,7.4,9
Females,25–29,5.1,5.6,6.5,6.7,7.5,7.6,6.9,8.4,8.1,7.7
Females,30–34,6.9,5.7,7.5,6.7,8.6,7.6,6.6,6.2,8.3,7
Females,35–39,8.3,8.2,9.8,8.8,7.4,7.1,7.5,9.2,7,8
Females,40–44,8.6,9.5,8.2,8.4,8.2,9.9,9.8,10,7.8,8.9
Females,45–49,6.6,8.4,7.9,11.3,8.4,11.1,8.5,7.7,9.6,7.4
Females,50–54,9.2,8.9,9.1,10.1,10.6,11.4,9.3,8.8,6.8,9.5
Females,55–59,6.5,7,7.9,9.2,7,9.9,8.6,9.5,5.9,7.5
Females,60–64,6.2,7.5,6.1,5.8,6,7.9,7,7.4,6.3,5
Females,65–69,4.3,5,5.9,4.6,4.8,5.8,6.3,4.7,4.6,4.4
Females,70–74,4.7,5.8,6.7,6.5,5.3,7,4.8,4.6,5.4,4.9
Females,75–79,4.9,5.4,3.4,6.3,8.5,6.8,5.2,7.4,6,4.3
Females,80–84,10.3,4.8,6,6.8,4.8,7.3,9.4,7.2,6.6,5.8
Females,85+,4,6.7,6.9,6.1,8.2,5.5,5.2,8.3,6.3,8.9
Persons,15–19,9,10.6,9.1,10.2,9.4,11.1,12.6,11.6,11.7,10.2
Persons,20–24,12,12.7,14.4,14.8,16,14.8,15.2,16.6,16.4,15.5
Persons,25–29,12.5,12.2,13.3,14.8,14.4,16.1,15.1,16.4,15.6,16.1
Persons,30–34,14.8,12.9,17.4,16,18,17.6,15.2,16.2,15.6,15.2
Persons,35–39,17.1,15,17.5,18.3,16.2,17.3,17.6,18.5,15.3,16.3
Persons,40–44,17.1,18,19.5,19.5,17.9,21.1,17.9,19.7,17.4,15.8
Persons,45–49,16.8,16.3,16.7,21.8,15.8,22.2,18.8,19.8,17.4,15.3
Persons,50–54,16.8,16.7,19.5,20.9,17.4,16.8,18.5,17.8,16.6,18.1
Persons,55–59,13.7,14.1,17.4,15.3,14.6,18.4,18.8,17.8,14,16.4
Persons,60–64,11.8,13.1,13.6,12.6,13.6,14.2,15.3,15.6,14.7,13.4
Persons,65–69,9.7,10.8,11.4,11.8,10.4,13.7,11.2,11.2,10.8,11.4
Persons,70–74,11.7,11.7,11.7,12.7,10.1,13,10.9,11.2,10.8,11.8
Persons,75–79,10.7,12.9,12.2,12.8,15,11.4,11.5,13.2,12.4,10.7
Persons,80–84,18.4,12.6,12.5,15.6,12.5,14.1,15.9,13.9,13.5,17.4
Persons,85+,15.9,18,18.3,19,18.6,16.3,16.1,17.7,18.1,19.7
