State,Year,NumberofSuicideDeath
New South Western Australiales,2012,727
Victoria,2012,514
Queensland,2012,631
South Australia,2012,197
Western Australia,2012,367
Tasmania,2012,71
Northern Territory,2012,48
Australian Capital Territory,2012,24
New South Western Australiales,2013,718
Victoria,2013,552
Queensland,2013,676
South Australia,2013,203
Western Australia,2013,336
Tasmania,2013,74
Northern Territory,2013,33
Australian Capital Territory,2013,37
New South Western Australiales,2014,832
Victoria,2014,672
Queensland,2014,658
South Australia,2014,244
Western Australia,2014,367
Tasmania,2014,69
Northern Territory,2014,56
Australian Capital Territory,2014,38
New South Western Australiales,2015,839
Victoria,2015,686
Queensland,2015,761
South Australia,2015,233
Western Australia,2015,402
Tasmania,2015,84
Northern Territory,2015,48
Australian Capital Territory,2015,46
New South Western Australiales,2016,822
Victoria,2016,667
Queensland,2016,688
South Australia,2016,221
Western Australia,2016,373
Tasmania,2016,93
Northern Territory,2016,46
Australian Capital Territory,2016,28
New South Western Australiales,2017,929
Victoria,2017,712
Queensland,2017,815
South Australia,2017,226
Western Australia,2017,418
Tasmania,2017,79
Northern Territory,2017,51
Australian Capital Territory,2017,59
New South Western Australiales,2018,940
Victoria,2018,691
Queensland,2018,805
South Australia,2018,209
Western Australia,2018,384
Tasmania,2018,78
Northern Territory,2018,47
Australian Capital Territory,2018,50
New South Western Australiales,2019,960
Victoria,2019,727
Queensland,2019,798
South Australia,2019,249
Western Australia,2019,415
Tasmania,2019,106
Northern Territory,2019,50
Australian Capital Territory,2019,53
New South Western Australiales,2020,876
Victoria,2020,694
Queensland,2020,759
South Australia,2020,234
Western Australia,2020,381
Tasmania,2020,87
Northern Territory,2020,51
Australian Capital Territory,2020,57
New South Western Australiales,2021,880
Victoria,2021,675
Queensland,2021,783
South Australia,2021,226
Western Australia,2021,389
Tasmania,2021,80
Northern Territory,2021,46
Australian Capital Territory,2021,65
